Time,Miotic_resp,Dose_grp
min,,
0.001,13,1
5,12.67,1
15,12.67,1
30,12.33,1
60,11.83,1
90,11.67,1
120,11.67,1
180,11.47,1
240,11.5,1
300,11.5,1
360,12,1
480,12.5,1
600,12.84,1
720,12.67,1
960,12.67,1
1440,12.67,1
0.001,13,2
5,13,2
15,13,2
30,12,2
60,7.83,2
90,6.84,2
120,6.5,2
180,7.17,2
240,7,2
300,8,2
360,9.17,2
480,10,2
600,11.37,2
720,11.87,2
960,12.17,2
1440,12.87,2
0.001,13,3
5,13,3
15,12.67,3
30,5.83,3
60,5.17,3
90,5.17,3
120,6,3
180,6.17,3
240,6.33,3
300,6.34,3
360,6.34,3
480,6.67,3
600,6.67,3
720,7,3
960,10.33,3
1440,12.67,3
