Time,Response,Group,Dose
hr,,,units
0,,1,6400
0.1,30,1,
0.5,21,1,
0.8,20,1,
1,16.5,1,
1.5,15,1,
2,13,1,
2.5,14,1,
3,13,1,
3.5,13.5,1,
4,13,1,
4.5,16,1,
4.8,17.5,1,
5,20,1,
5.5,22.5,1,
6,26,1,
8,29,1,
10,31,1,
12,29,1,
0,,2,32000
0.1,27,2,
0.5,15,2,
0.8,11,2,
1,8,2,
1.5,8.5,2,
2,7,2,
2.5,7.5,2,
3,6.5,2,
3.5,7,2,
4,7.6,2,
4.5,9,2,
4.8,12,2,
5,13,2,
5.5,18,2,
6,21,2,
8,28.6,2,
10,30,2,
12,29,2,
0,,3,160000
0.1,23,3,
0.5,10,3,
0.8,6.5,3,
1,6,3,
1.5,6,3,
2,5.8,3,
2.5,6,3,
3,5.5,3,
3.5,6,3,
4,6.1,3,
4.5,6,3,
4.8,8,3,
5,8,3,
5.5,13,3,
6,16,3,
8,28,3,
10,29,3,
12,30.5,3,
