Function,Concentration,Predicted
1,0,0.0765835
1,20.02,0.416014
1,40.04,0.455933
1,60.0601,0.48898
1,80.0801,0.517836
1,100.1,0.543461
1,120.12,0.566432
1,140.14,0.587168
1,160.16,0.605991
1,180.18,0.62316
1,200.2,0.638888
1,220.22,0.65335
1,240.24,0.666695
1,260.26,0.679048
1,280.28,0.690516
1,300.3,0.701191
1,320.32,0.711153
1,340.34,0.720472
1,360.36,0.729207
1,380.38,0.737413
1,400.4,0.745135
1,420.42,0.752416
1,440.44,0.759292
1,460.46,0.765797
1,480.48,0.771959
1,500.501,0.777804
1,520.521,0.783358
1,540.541,0.78864
1,560.561,0.793671
1,580.581,0.798468
1,600.601,0.803047
1,620.621,0.807422
1,640.641,0.811607
1,660.661,0.815615
1,680.681,0.819455
1,700.701,0.823138
1,720.721,0.826674
1,740.741,0.830072
1,760.761,0.833338
1,780.781,0.836482
1,800.801,0.839509
1,820.821,0.842426
1,840.841,0.845239
1,860.861,0.847953
1,880.881,0.850574
1,900.901,0.853105
1,920.921,0.855553
1,940.941,0.85792
1,960.961,0.860211
1,980.981,0.862429
1,1001,0.864578
1,1021.02,0.866661
1,1041.04,0.86868
1,1061.06,0.87064
1,1081.08,0.872541
1,1101.1,0.874388
1,1121.12,0.876182
1,1141.14,0.877925
1,1161.16,0.87962
1,1181.18,0.881269
1,1201.2,0.882873
1,1221.22,0.884434
1,1241.24,0.885954
1,1261.26,0.887435
1,1281.28,0.888878
1,1301.3,0.890284
1,1321.32,0.891655
1,1341.34,0.892992
1,1361.36,0.894297
1,1381.38,0.89557
1,1401.4,0.896813
1,1421.42,0.898026
1,1441.44,0.899212
1,1461.46,0.90037
1,1481.48,0.901502
1,1501.5,0.902608
1,1521.52,0.90369
1,1541.54,0.904748
1,1561.56,0.905783
1,1581.58,0.906796
1,1601.6,0.907787
1,1621.62,0.908758
1,1641.64,0.909708
1,1661.66,0.910639
1,1681.68,0.91155
1,1701.7,0.912443
1,1721.72,0.913319
1,1741.74,0.914177
1,1761.76,0.915018
1,1781.78,0.915843
1,1801.8,0.916652
1,1821.82,0.917445
1,1841.84,0.918224
1,1861.86,0.918988
1,1881.88,0.919738
1,1901.9,0.920474
1,1921.92,0.921197
1,1941.94,0.921907
1,1961.96,0.922604
1,1981.98,0.923289
1,2002,0.923962
1,2022.02,0.924623
1,2042.04,0.925272
1,2062.06,0.925911
1,2082.08,0.926539
1,2102.1,0.927156
1,2122.12,0.927763
1,2142.14,0.92836
1,2162.16,0.928947
1,2182.18,0.929524
1,2202.2,0.930092
1,2222.22,0.930652
1,2242.24,0.931202
1,2262.26,0.931743
1,2282.28,0.932277
1,2302.3,0.932801
1,2322.32,0.933318
1,2342.34,0.933827
1,2362.36,0.934328
1,2382.38,0.934822
1,2402.4,0.935308
1,2422.42,0.935787
1,2442.44,0.93626
1,2462.46,0.936725
1,2482.48,0.937183
1,2502.5,0.937635
1,2522.52,0.93808
1,2542.54,0.938519
1,2562.56,0.938952
1,2582.58,0.939379
1,2602.6,0.9398
1,2622.62,0.940215
1,2642.64,0.940625
1,2662.66,0.941028
1,2682.68,0.941427
1,2702.7,0.94182
1,2722.72,0.942208
1,2742.74,0.94259
1,2762.76,0.942968
1,2782.78,0.943341
1,2802.8,0.943708
1,2822.82,0.944072
1,2842.84,0.94443
1,2862.86,0.944784
1,2882.88,0.945133
1,2902.9,0.945478
1,2922.92,0.945819
1,2942.94,0.946155
1,2962.96,0.946488
1,2982.98,0.946816
1,3003,0.94714
1,3023.02,0.947461
1,3043.04,0.947777
1,3063.06,0.94809
1,3083.08,0.948399
1,3103.1,0.948704
1,3123.12,0.949006
1,3143.14,0.949304
1,3163.16,0.949599
1,3183.18,0.94989
1,3203.2,0.950178
1,3223.22,0.950462
1,3243.24,0.950744
1,3263.26,0.951022
1,3283.28,0.951297
1,3303.3,0.951569
1,3323.32,0.951838
1,3343.34,0.952104
1,3363.36,0.952367
1,3383.38,0.952628
1,3403.4,0.952885
1,3423.42,0.95314
1,3443.44,0.953392
1,3463.46,0.953641
1,3483.48,0.953887
1,3503.5,0.954131
1,3523.52,0.954373
1,3543.54,0.954612
1,3563.56,0.954848
1,3583.58,0.955082
1,3603.6,0.955313
1,3623.62,0.955542
1,3643.64,0.955769
1,3663.66,0.955994
1,3683.68,0.956216
1,3703.7,0.956436
1,3723.72,0.956654
1,3743.74,0.956869
1,3763.76,0.957083
1,3783.78,0.957294
1,3803.8,0.957504
1,3823.82,0.957711
1,3843.84,0.957916
1,3863.86,0.958119
1,3883.88,0.958321
1,3903.9,0.95852
1,3923.92,0.958718
1,3943.94,0.958913
1,3963.96,0.959107
1,3983.98,0.959299
1,4004,0.959489
1,4024.02,0.959678
1,4044.04,0.959864
1,4064.06,0.960049
1,4084.08,0.960232
1,4104.1,0.960414
1,4124.12,0.960594
1,4144.14,0.960772
1,4164.16,0.960949
1,4184.18,0.961124
1,4204.2,0.961297
1,4224.22,0.961469
1,4244.24,0.96164
1,4264.26,0.961809
1,4284.28,0.961976
1,4304.3,0.962142
1,4324.32,0.962307
1,4344.34,0.96247
1,4364.36,0.962632
1,4384.38,0.962792
1,4404.4,0.962951
1,4424.42,0.963109
1,4444.44,0.963265
1,4464.46,0.96342
1,4484.48,0.963574
1,4504.5,0.963726
1,4524.52,0.963877
1,4544.54,0.964027
1,4564.56,0.964176
1,4584.58,0.964323
1,4604.6,0.964469
1,4624.62,0.964614
1,4644.64,0.964758
1,4664.66,0.964901
1,4684.68,0.965042
1,4704.7,0.965183
1,4724.72,0.965322
1,4744.74,0.96546
1,4764.76,0.965597
1,4784.78,0.965733
1,4804.8,0.965868
1,4824.82,0.966002
1,4844.84,0.966135
1,4864.86,0.966266
1,4884.88,0.966397
1,4904.9,0.966527
1,4924.92,0.966656
1,4944.94,0.966783
1,4964.96,0.96691
1,4984.98,0.967036
1,5005.01,0.967161
1,5025.03,0.967285
1,5045.05,0.967408
1,5065.07,0.96753
1,5085.09,0.967651
1,5105.11,0.967771
1,5125.13,0.967891
1,5145.15,0.968009
1,5165.17,0.968127
1,5185.19,0.968243
1,5205.21,0.968359
1,5225.23,0.968474
1,5245.25,0.968588
1,5265.27,0.968702
1,5285.29,0.968814
1,5305.31,0.968926
1,5325.33,0.969037
1,5345.35,0.969147
1,5365.37,0.969257
1,5385.39,0.969365
1,5405.41,0.969473
1,5425.43,0.96958
1,5445.45,0.969687
1,5465.47,0.969792
1,5485.49,0.969897
1,5505.51,0.970001
1,5525.53,0.970105
1,5545.55,0.970207
1,5565.57,0.970309
1,5585.59,0.970411
1,5605.61,0.970511
1,5625.63,0.970611
1,5645.65,0.970711
1,5665.67,0.970809
1,5685.69,0.970907
1,5705.71,0.971005
1,5725.73,0.971101
1,5745.75,0.971197
1,5765.77,0.971293
1,5785.79,0.971387
1,5805.81,0.971481
1,5825.83,0.971575
1,5845.85,0.971668
1,5865.87,0.97176
1,5885.89,0.971852
1,5905.91,0.971943
1,5925.93,0.972033
1,5945.95,0.972123
1,5965.97,0.972213
1,5985.99,0.972301
1,6006.01,0.97239
1,6026.03,0.972477
1,6046.05,0.972564
1,6066.07,0.972651
1,6086.09,0.972737
1,6106.11,0.972822
1,6126.13,0.972907
1,6146.15,0.972992
1,6166.17,0.973075
1,6186.19,0.973159
1,6206.21,0.973242
1,6226.23,0.973324
1,6246.25,0.973406
1,6266.27,0.973487
1,6286.29,0.973568
1,6306.31,0.973648
1,6326.33,0.973728
1,6346.35,0.973807
1,6366.37,0.973886
1,6386.39,0.973965
1,6406.41,0.974043
1,6426.43,0.97412
1,6446.45,0.974197
1,6466.47,0.974274
1,6486.49,0.97435
1,6506.51,0.974426
1,6526.53,0.974501
1,6546.55,0.974576
1,6566.57,0.97465
1,6586.59,0.974724
1,6606.61,0.974797
1,6626.63,0.97487
1,6646.65,0.974943
1,6666.67,0.975015
1,6686.69,0.975087
1,6706.71,0.975158
1,6726.73,0.975229
1,6746.75,0.9753
1,6766.77,0.97537
1,6786.79,0.97544
1,6806.81,0.975509
1,6826.83,0.975578
1,6846.85,0.975647
1,6866.87,0.975715
1,6886.89,0.975783
1,6906.91,0.97585
1,6926.93,0.975917
1,6946.95,0.975984
1,6966.97,0.97605
1,6986.99,0.976116
1,7007.01,0.976182
1,7027.03,0.976247
1,7047.05,0.976312
1,7067.07,0.976377
1,7087.09,0.976441
1,7107.11,0.976505
1,7127.13,0.976568
1,7147.15,0.976631
1,7167.17,0.976694
1,7187.19,0.976757
1,7207.21,0.976819
1,7227.23,0.976881
1,7247.25,0.976942
1,7267.27,0.977003
1,7287.29,0.977064
1,7307.31,0.977124
1,7327.33,0.977185
1,7347.35,0.977245
1,7367.37,0.977304
1,7387.39,0.977363
1,7407.41,0.977422
1,7427.43,0.977481
1,7447.45,0.977539
1,7467.47,0.977597
1,7487.49,0.977655
1,7507.51,0.977713
1,7527.53,0.97777
1,7547.55,0.977826
1,7567.57,0.977883
1,7587.59,0.977939
1,7607.61,0.977995
1,7627.63,0.978051
1,7647.65,0.978106
1,7667.67,0.978162
1,7687.69,0.978216
1,7707.71,0.978271
1,7727.73,0.978325
1,7747.75,0.978379
1,7767.77,0.978433
1,7787.79,0.978487
1,7807.81,0.97854
1,7827.83,0.978593
1,7847.85,0.978646
1,7867.87,0.978698
1,7887.89,0.97875
1,7907.91,0.978802
1,7927.93,0.978854
1,7947.95,0.978905
1,7967.97,0.978957
1,7987.99,0.979008
1,8008.01,0.979058
1,8028.03,0.979109
1,8048.05,0.979159
1,8068.07,0.979209
1,8088.09,0.979259
1,8108.11,0.979308
1,8128.13,0.979357
1,8148.15,0.979406
1,8168.17,0.979455
1,8188.19,0.979504
1,8208.21,0.979552
1,8228.23,0.9796
1,8248.25,0.979648
1,8268.27,0.979696
1,8288.29,0.979743
1,8308.31,0.97979
1,8328.33,0.979837
1,8348.35,0.979884
1,8368.37,0.979931
1,8388.39,0.979977
1,8408.41,0.980023
1,8428.43,0.980069
1,8448.45,0.980115
1,8468.47,0.98016
1,8488.49,0.980206
1,8508.51,0.980251
1,8528.53,0.980296
1,8548.55,0.98034
1,8568.57,0.980385
1,8588.59,0.980429
1,8608.61,0.980473
1,8628.63,0.980517
1,8648.65,0.980561
1,8668.67,0.980604
1,8688.69,0.980648
1,8708.71,0.980691
1,8728.73,0.980734
1,8748.75,0.980776
1,8768.77,0.980819
1,8788.79,0.980861
1,8808.81,0.980903
1,8828.83,0.980945
1,8848.85,0.980987
1,8868.87,0.981029
1,8888.89,0.98107
1,8908.91,0.981111
1,8928.93,0.981152
1,8948.95,0.981193
1,8968.97,0.981234
1,8988.99,0.981274
1,9009.01,0.981315
1,9029.03,0.981355
1,9049.05,0.981395
1,9069.07,0.981435
1,9089.09,0.981474
1,9109.11,0.981514
1,9129.13,0.981553
1,9149.15,0.981592
1,9169.17,0.981631
1,9189.19,0.98167
1,9209.21,0.981709
1,9229.23,0.981747
1,9249.25,0.981786
1,9269.27,0.981824
1,9289.29,0.981862
1,9309.31,0.9819
1,9329.33,0.981938
1,9349.35,0.981975
1,9369.37,0.982013
1,9389.39,0.98205
1,9409.41,0.982087
1,9429.43,0.982124
1,9449.45,0.982161
1,9469.47,0.982197
1,9489.49,0.982234
1,9509.51,0.98227
1,9529.53,0.982306
1,9549.55,0.982342
1,9569.57,0.982378
1,9589.59,0.982414
1,9609.61,0.982449
1,9629.63,0.982485
1,9649.65,0.98252
1,9669.67,0.982555
1,9689.69,0.98259
1,9709.71,0.982625
1,9729.73,0.98266
1,9749.75,0.982695
1,9769.77,0.982729
1,9789.79,0.982763
1,9809.81,0.982798
1,9829.83,0.982832
1,9849.85,0.982866
1,9869.87,0.982899
1,9889.89,0.982933
1,9909.91,0.982967
1,9929.93,0.983
1,9949.95,0.983033
1,9969.97,0.983066
1,9989.99,0.983099
1,10010,0.983132
1,10030,0.983165
1,10050.1,0.983198
1,10070.1,0.98323
1,10090.1,0.983263
1,10110.1,0.983295
1,10130.1,0.983327
1,10150.2,0.983359
1,10170.2,0.983391
1,10190.2,0.983423
1,10210.2,0.983454
1,10230.2,0.983486
1,10250.3,0.983517
1,10270.3,0.983548
1,10290.3,0.98358
1,10310.3,0.983611
1,10330.3,0.983642
1,10350.4,0.983672
1,10370.4,0.983703
1,10390.4,0.983734
1,10410.4,0.983764
1,10430.4,0.983794
1,10450.5,0.983825
1,10470.5,0.983855
1,10490.5,0.983885
1,10510.5,0.983915
1,10530.5,0.983944
1,10550.6,0.983974
1,10570.6,0.984004
1,10590.6,0.984033
1,10610.6,0.984062
1,10630.6,0.984092
1,10650.7,0.984121
1,10670.7,0.98415
1,10690.7,0.984179
1,10710.7,0.984208
1,10730.7,0.984236
1,10750.8,0.984265
1,10770.8,0.984293
1,10790.8,0.984322
1,10810.8,0.98435
1,10830.8,0.984378
1,10850.9,0.984406
1,10870.9,0.984434
1,10890.9,0.984462
1,10910.9,0.98449
1,10930.9,0.984518
1,10951,0.984545
1,10971,0.984573
1,10991,0.9846
1,11011,0.984628
1,11031,0.984655
1,11051.1,0.984682
1,11071.1,0.984709
1,11091.1,0.984736
1,11111.1,0.984763
1,11131.1,0.984789
