Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,Delta_Clint,Delta_ClH
0,16.8807,1.29278,2.0901962,107.99561,0.013842272,0.10916714,1.4,16.88071119,1.292783165,-1.11887E-05,-3.16474E-06
20.02,1.96527,0.81758,,,,,,1.965271651,0.81758045,-1.65091E-06,-4.50163E-07
40.04,1.67063,0.761694,,,,,,1.670629088,0.761694316,9.12239E-07,-3.16056E-07
60.0601,1.46311,0.715429,,,,,,1.463104935,0.715428514,5.06479E-06,4.85976E-07
80.0801,1.30356,0.675029,,,,,,1.303557176,0.675029203,2.82376E-06,-2.03295E-07
100.1,1.17608,0.639155,,,,,,1.176083016,0.639154954,-3.01619E-06,4.56307E-08
120.12,1.07161,0.606995,,,,,,1.071610553,0.606994808,-5.52895E-07,1.91576E-07
140.14,0.984325,0.577965,,,,,,0.984325886,0.577964719,-8.86476E-07,2.80965E-07
160.16,0.910264,0.551612,,,,,,0.910265038,0.551612491,-1.03752E-06,-4.91136E-07
180.18,0.846612,0.527575,,,,,,0.846612825,0.527575532,-8.25337E-07,-5.31531E-07
200.2,0.791307,0.505557,,,,,,0.791307661,0.505556908,-6.60515E-07,9.22763E-08
220.22,0.742802,0.48531,,,,,,0.742802281,0.485309915,-2.81007E-07,8.47422E-08
240.24,0.699911,0.466627,,,,,,0.699911462,0.466627315,-4.62377E-07,-3.14953E-07
260.26,0.661711,0.449333,,,,,,0.661711343,0.449333455,-3.42914E-07,-4.54591E-07
280.28,0.62747,0.433278,,,,,,0.627470815,0.433278316,-8.14651E-07,-3.16099E-07
300.3,0.596603,0.418333,,,,,,0.596603566,0.418332916,-5.65978E-07,8.3741E-08
320.32,0.568633,0.404385,,,,,,0.568633824,0.404385693,-8.24222E-07,-6.93325E-07
340.34,0.543171,0.391339,,,,,,0.543171417,0.39133963,-4.17389E-07,-6.30431E-07
360.36,0.519893,0.37911,,,,,,0.519893314,0.37910994,-3.1422E-07,5.96107E-08
380.38,0.498529,0.367622,,,,,,0.498529755,0.367622185,-7.54534E-07,-1.84841E-07
400.4,0.478853,0.356811,,,,,,0.478853688,0.356810734,-6.87739E-07,2.66301E-07
