Subject,Ligand,DR,RT,Ka,D
,M,M,,,
1,0.00000001,3.74E-10,3.96E-10,31250000000,2.01E-09
1,0.00000003,3.53E-10,3.96E-10,31250000000,2.01E-09
1,0.00000005,3.39E-10,3.96E-10,31250000000,2.01E-09
1,0.0000001,3.24E-10,3.96E-10,31250000000,2.01E-09
1,0.0000003,2.62E-10,3.96E-10,31250000000,2.01E-09
1,0.0000005,2.37E-10,3.96E-10,31250000000,2.01E-09
1,0.000001,2.06E-10,3.96E-10,31250000000,2.01E-09
1,0.000003,1.18E-10,3.96E-10,31250000000,2.01E-09
1,0.00001,6.5E-11,3.96E-10,31250000000,2.01E-09
1,0.00003,3.3E-11,3.96E-10,31250000000,2.01E-09
1,0.00005,2.9E-11,3.96E-10,31250000000,2.01E-09
1,0.0001,1.5E-11,3.96E-10,31250000000,2.01E-09
