Time,Response
hr,
0,2.811
0.05,1.2074
0.11,0.4153
0.16,0.3213
0.22,0.3887
0.25,0.3957
0.31,0.4392
0.35,0.4216
0.41,0.4936
0.45,0.5075
0.5,0.5116
0.54,0.5469
0.6,0.572
0.65,0.6
0.7,0.6837
0.75,0.8407
0.83,0.9894
0.87,1.2017
0.95,1.3917
1.05,2.097
1.1,2.3541
1.15,0.8394
1.2,0.5576
1.25,0.4911
1.31,0.4551
1.34,0.5153
1.45,0.5405
1.49,0.4808
1.55,0.5357
1.58,0.6169
1.62,0.5841
1.67,0.5691
1.75,0.5992
1.79,0.6854
1.99,0.8197
2.16,1.4782
2.35,2.2923
2.4,2.38
2.65,2.7392
2.81,2.9191
2.95,2.8053
3.11,2.7683
3.56,2.8176
4.15,2.7937
