Time,Resp
min,
0,145.31
1.21,149.57
2.42,143.1
3.63,145.91
4.84,149.34
6.05,147.51
7.27,147.51
8.48,145.63
9.69,149.57
10.9,146.77
12.11,150.14
13.32,150.14
14.53,149.37
15.74,148.34
16.96,154.23
18.17,143.31
19.38,145.4
20.59,150.54
21.8,150.05
23.01,146.8
24.22,147.25
25.43,144
26.65,150.18
27.86,156.85
29.07,151.75
30.28,148.75
31.49,146.63
32.7,187.93
33.91,233.43
35.12,233.85
36.34,232.25
37.55,221.33
38.76,230.43
39.97,226.73
41.18,227.73
42.39,235.18
43.6,238.58
44.81,238.13
46.03,237.45
47.24,246.48
48.45,240.58
49.66,248.16
50.87,240
52.08,234.6
53.29,241.16
54.5,237.68
55.72,233.25
56.93,232.95
58.14,239
59.35,234.08
60.56,229.6
61.77,228.08
62.98,230.85
64.2,224.08
65.41,229.9
66.62,219.63
67.83,218.98
69.04,217.08
70.25,218.53
71.46,213.18
72.67,220.13
73.89,215.28
75.1,213.05
76.31,216.95
77.52,219.33
78.73,220.95
81.15,214.43
82.36,225.9
82.36,220.48
84.79,219.98
87.21,221.45
88.42,218.23
89.63,220.9
90.84,215.15
92.05,215.93
93.27,207.68
94.48,213.3
95.69,215.8
96.9,209.43
98.11,223.9
99.32,207.2
100.53,217.93
101.74,214.43
102.96,217.2
104.17,212.6
105.38,215.98
106.59,214.48
107.8,218.53
109.01,225.03
110.22,218.65
111.43,218.8
112.65,221
113.86,220.35
115.07,219.9
116.28,219.08
117.49,215.25
118.7,221.4
119.91,219.98
121.12,219.73
122.34,219.3
123.55,223.56
124.76,222.15
125.97,220.38
127.18,233.83
128.39,229.03
129.6,229.23
130.82,224.83
132.03,227.35
132.64,226.83
133.24,226.35
134.45,231.3
135.66,223.63
136.87,226.45
138.08,217.18
139.29,222.63
140.51,222.23
141.72,221.68
142.93,220.83
144.14,219.53
145.35,218.78
146.56,226.78
147.77,218.53
148.98,214.68
150.2,213.75
151.41,213.65
152.62,221.28
153.83,211.78
155.04,217.78
156.25,214.05
157.46,213.6
158.67,214.05
159.89,200.95
161.1,212.38
162.31,207.85
163.52,206.03
164.73,206.83
165.94,199.98
167.15,215.35
168.36,200.75
169.58,200.23
170.79,196.5
172,195.65
173.21,191.78
174.42,195.53
175.63,193.78
176.84,198.7
178.05,196.08
179.27,186.55
180.48,158.18
181.69,176.33
181.69,180.2
182.9,192.68
184.11,187.05
185.32,187.6
186.53,180.6
187.74,180.8
188.96,180.88
190.17,186.58
191.38,174
192.59,175.68
193.8,177.63
195.01,175.55
196.22,178.08
197.43,171.2
198.65,178.78
199.86,185.25
201.07,182.58
202.28,175.3
203.49,177.28
204.7,168.23
205.91,165.7
207.13,162.9
208.34,168.55
209.55,162.2
210.76,160.4
211.97,166.98
213.18,171.89
214.39,165.48
215.6,173.63
216.82,176.63
218.03,169
219.24,162.1
220.45,166.28
221.66,159.3
222.87,160.6
224.08,153.7
225.29,158.03
226.51,154.2
227.72,152.73
228.93,163.65
230.14,161.78
231.35,157.43
232.56,152.91
233.77,171.88
234.98,164.88
236.2,158.65
237.41,159.15
238.62,156.28
239.83,158.63
241.04,161.18
242.25,160.53
243.46,162.5
244.67,164.45
245.89,162.28
247.1,170.8
248.31,156.18
249.52,158.23
250.73,157.74
251.94,168.3
253.15,159.6
254.36,157.25
255.58,169.23
256.79,161.7
258,165.03
259.21,164.88
260.42,159.38
261.63,163.6
262.84,156.5
264.05,172.35
265.27,173.2
266.48,164.83
