Time,Response,Dose_grp,Group
hr,,mg,
0,11,400,1
0.15,10.9,400,1
0.25,11.1,400,1
0.35,11,400,1
0.45,10.8,400,1
0.5,10.6,400,1
1,8.4,400,1
1.15,7.7,400,1
1.25,7.3,400,1
1.5,6.5,400,1
1.75,5.9,400,1
1.85,5.7,400,1
2,5.6,400,1
2.5,5.2,400,1
2.75,5.2,400,1
3,5.3,400,1
3.25,5.3,400,1
3.5,5.4,400,1
3.75,5.4,400,1
4,5.7,400,1
4.25,5.9,400,1
4.5,6,400,1
4.75,6.2,400,1
5.5,6.7,400,1
6,7.1,400,1
6.25,7.2,400,1
6.5,7.4,400,1
6.75,7.6,400,1
7.5,8,400,1
7.5,8,400,1
8.5,8.5,400,1
9,8.8,400,1
9.5,9,400,1
10.5,9.4,400,1
11.5,9.7,400,1
12,9.8,400,1
12.5,9.9,400,1
13.5,10,400,1
14.5,10.2,400,1
15.5,10.3,400,1
16.5,10.4,400,1
17.5,10.5,400,1
18.5,10.5,400,1
19.5,10.6,400,1
20.5,10.6,400,1
21.5,10.6,400,1
22.5,10.7,400,1
23,10.6,400,1
24,10.7,400,1
0,11,1600,2
0.15,10.9,1600,2
0.25,11.1,1600,2
0.35,10.85,1600,2
0.45,10.3,1600,2
0.5,9.8,1600,2
1,3.9,1600,2
1.15,3,1600,2
1.25,2.5,1600,2
1.5,2,1600,2
1.75,1.8,1600,2
1.85,1.7,1600,2
2,1.65,1600,2
2.5,1.8,1600,2
2.75,1.9,1600,2
3,2,1600,2
3.25,2.1,1600,2
3.5,2.2,1600,2
3.75,2.4,1600,2
4,2.5,1600,2
4.25,2.7,1600,2
4.5,2.8,1600,2
4.75,3,1600,2
5.5,3.5,1600,2
6,3.9,1600,2
6.25,4,1600,2
6.5,4.2,1600,2
6.75,4.4,1600,2
7.5,5,1600,2
7.5,5,1600,2
8.5,5.8,1600,2
9,6,1600,2
9.5,6.4,1600,2
10.5,7,1600,2
11.5,7.5,1600,2
12,7.8,1600,2
12.5,8,1600,2
13.5,8.4,1600,2
14.5,8.7,1600,2
15.5,9,1600,2
16.5,9.1,1600,2
17.5,9.3,1600,2
18.5,9.5,1600,2
19.5,9.6,1600,2
20.5,9.7,1600,2
21.5,9.8,1600,2
22.5,9.8,1600,2
23,9.9,1600,2
24,10,1600,2
