Conc (ug/L),Response
0,9.83346
0.05,8.30767
0.1,8.70971
0.15,7.87207
0.2,7.72392
0.25,7.12031
0.3,6.42507
0.35,6.64729
0.4,5.93108
0.45,5.29877
0.5,5.79723
0.55,5.44748
0.6,5.09744
0.65,4.6279
0.7,4.91162
0.75,4.32554
0.8,4.51626
0.85,4.76849
0.9,4.2268
0.95,3.92041
1,3.69108
1.05,4.17423
1.1,4.03311
1.15,3.64609
1.2,3.34712
1.25,4.61927
1.3,4.79143
1.35,4.1381
1.4,4.38231
1.45,4.20168
1.5,4.33762
1.55,4.10756
1.6,4.72046
1.65,4.34528
1.7,4.18273
1.75,4.53999
1.8,4.90869
1.85,4.19595
1.9,5.30852
1.95,4.49014
2,4.61191
2.05,4.46587
2.1,4.31168
2.15,5.27639
2.2,4.70741
2.25,4.97854
2.3,4.94913
2.35,4.52643
2.4,4.83097
2.45,4.31515
2.5,5.18488
2.55,5.27443
2.6,4.77433
2.65,5.41242
2.7,5.23805
2.75,5.45936
2.8,4.83374
2.85,5.76135
2.9,4.78182
2.95,4.57405
3,4.40916
3.05,5.45648
3.1,4.69283
3.15,5.06471
3.2,4.80384
3.25,4.74563
3.3,4.6009
3.35,5.33068
3.4,5.02415
3.45,5.42964
3.5,5.3389
3.55,4.97433
3.6,4.92943
3.65,5.61238
3.7,5.44268
3.75,5.50098
3.8,5.23203
3.85,4.95066
3.9,5.00105
3.95,5.76898
4,5.39726
4.05,5.35431
4.1,5.65583
4.15,5.8396
4.2,5.39342
4.25,5.38612
4.3,4.65182
4.35,5.22718
4.4,4.99181
4.45,5.16191
4.5,5.33684
4.55,5.69901
4.6,5.16678
4.65,5.3005
4.7,5.61172
4.75,5.67547
4.8,5.64568
4.85,5.5238
4.9,5.28038
4.95,5.82995
5,5.25895
