Time,Dose_grp,Count,Group
0,1.5,9800,1
0.2,1.5,8000,1
0.5,1.5,5500,1
0.75,1.5,5000,1
1,1.5,4000,1
2,1.5,2900,1
3,1.5,2350,1
3.5,1.5,2400,1
4,1.5,2400,1
5,1.5,2500,1
6,1.5,2600,1
7,1.5,2900,1
10.1,1.5,4000,1
16,1.5,6500,1
20,1.5,9000,1
25,1.5,12000,1
0,2,11000,2
0.2,2,7000,2
0.5,2,5000,2
0.75,2,3500,2
1,2,3000,2
2,2,1500,2
3,2,1400,2
3.5,2,1400,2
4,2,1300,2
5,2,1350,2
6,2,1500,2
7,2,1600,2
8,2,1650,2
9,2,1900,2
9.5,2,1900,2
10,2,2100,2
11,2,2200,2
16,2,3600,2
20,2,5000,2
25,2,8000,2
0,4,13000,3
0.2,4,5000,3
0.5,4,2500,3
0.75,4,1200,3
1,4,900,3
2,4,250,3
3,4,150,3
3.5,4,100,3
4,4,100,3
5,4,120,3
6,4,130,3
7,4,100,3
8,4,150,3
9,4,150,3
9.5,4,170,3
10,4,170,3
11,4,190,3
12,4,200,3
13,4,220,3
14,4,250,3
15,4,300,3
16,4,290,3
18,4,380,3
20.2,4,450,3
25,4,700,3
0,6,15000,4
0.2,6,3500,4
0.5,6,1100,4
0.75,6,500,4
1,6,220,4
2,6,40,4
3,6,10,4
3.5,6,10,4
4,6,10,4
5,6,10,4
6,6,10,4
7,6,10,4
8,6,11,4
9,6,13,4
9.5,6,13,4
10,6,15,4
11,6,16,4
12,6,16,4
13,6,20,4
14,6,19,4
15,6,20,4
16,6,25,4
18,6,30,4
20.2,6,40,4
25,6,60,4
0,0,13000,5
0.2,0,11000,5
0.75,0,11500,5
1,0,11000,5
2,0,12000,5
3,0,12000,5
3.5,0,13000,5
4,0,13400,5
5,0,14000,5
6,0,15000,5
7,0,16000,5
8,0,16500,5
9,0,18500,5
9.5,0,19000,5
10,0,19000,5
11,0,20000,5
12,0,22000,5
13,0,21500,5
14,0,23000,5
15,0,24000,5
16,0,25000,5
18,0,27000,5
20.2,0,27500,5
25,0,33000,5
