Time,Delta,Group
min,,
0,0,1
5,-0.25,1
10,-0.5875,1
15,-0.68125,1
20,-0.56375,1
25,-0.46875,1
30,-0.34875,1
35,-0.29625,1
40,-0.15,1
45,-0.0775,1
50,-0.0475,1
55,0,1
60,0,1
0,0,2
5,-0.5,2
10,-1.21875,2
15,-1.39125,2
20,-1.53625,2
25,-1.59375,2
30,-1.4525,2
35,-1.3375,2
40,-1.1325,2
45,-0.96125,2
50,-0.8025,2
55,-0.6875,2
60,-0.47375,2
0,0,3
5,-1.00125,3
10,-1.60625,3
15,-2.1225,3
20,-2.47875,3
25,-2.59125,3
30,-2.54875,3
35,-2.3775,3
40,-2.2425,3
45,-2.09625,3
50,-1.87125,3
55,-1.6925,3
60,-1.4825,3
0,0,4
5,-1.355,4
10,-2.03875,4
15,-2.57625,4
20,-2.9025,4
25,-2.9925,4
30,-2.93875,4
35,-2.85125,4
40,-2.73375,4
45,-2.63,4
50,-2.46125,4
55,-2.33625,4
60,-2.15125,4
