Time,Resp,Group,Dose
hr,,,ng
0,42.43,1,10750
0.25,42.1624,1,
0.33,41.1318,1,
0.5,40.2037,1,
0.67,45.2931,1,
0.7,46.9811,1,
0.72,52.3514,1,
0.75,54.5352,1,
0.83,71.0632,1,
0.92,78.5499,1,
1,79.9931,1,
1.08,83.8217,1,
1.17,82.984,1,
1.25,81.0236,1,
1.33,82.4761,1,
1.42,86.9744,1,
1.5,80.0199,1,
1.58,82.5598,1,
1.67,73.6871,1,
1.83,79.5852,1,
1.92,78.9455,1,
2,71.403,1,
2.08,77.3384,1,
2.17,75.158,1,
2.25,68.0063,1,
2.33,72.4216,1,
2.42,69.0184,1,
2.5,60.9289,1,
2.67,63.0298,1,
2.83,68.1296,1,
3,62.7183,1,
3.5,56.4479,1,
4.17,52.7293,1,
8,47.0575,1,
8,41.4817,1,
0,42.2297,2,43000
0.25,42.4934,2,
0.33,41.4205,2,
0.5,40.7038,2,
0.67,42.2574,2,
0.7,51.6873,2,
0.72,71.0149,2,
0.75,99.286,2,
0.83,148.6513,2,
0.92,185.7256,2,
1,197.8174,2,
1.08,192.6395,2,
1.17,216.5909,2,
1.25,194.4549,2,
1.33,218.1122,2,
1.42,204.9662,2,
1.5,187.5619,2,
1.58,202.1466,2,
1.67,191.9401,2,
1.83,177.0931,2,
1.92,178.9466,2,
2,168.745,2,
2.08,149.5542,2,
2.17,166.1766,2,
2.25,163.5772,2,
2.33,148.6105,2,
2.42,136.9135,2,
2.5,143.3352,2,
2.67,132.2659,2,
2.83,129.3574,2,
3,124.4431,2,
3.5,105.2946,2,
4.17,93.5062,2,
8,52.514,2,
8,50.5629,2,
8,53.365,2,
8,50.5279,2,
0,39.6058,3,172000
0.25,47.7539,3,
0.33,40.2983,3,
0.5,41.0776,3,
0.67,41.671,3,
0.7,80.9559,3,
0.72,169.1779,3,
0.75,261.8084,3,
0.83,491.8692,3,
0.92,635.9229,3,
1,652.4178,3,
1.08,717.313,3,
1.17,754.7899,3,
1.25,690.0737,3,
1.33,673.4337,3,
1.42,729.1498,3,
1.5,671.9722,3,
1.58,642.3855,3,
1.67,600.0882,3,
1.83,566.3185,3,
1.92,606.779,3,
2,524.6223,3,
2.08,538.2638,3,
2.17,510.6882,3,
2.25,523.0056,3,
2.33,460.8906,3,
2.42,470.9989,3,
2.5,481.7722,3,
2.67,455.9708,3,
2.83,382.6574,3,
3,357.6027,3,
3.5,294.2787,3,
4.17,225.4163,3,
8,71.2327,3,
8,71.5861,3,
