Inhibitor,Substrate,Rate
0,5.236,21.1
0,5.237,35.6
0,10.47,52.09
0,26.18,67.91
0,47.12,90.99
0,73.3,87.03
10,15.71,25.05
10,26.18,36.26
10,104.7,78.46
10,251.3,78.46
10,502.6,98.24
10,1000,89.67
24,15.71,15.16
24,26.18,32.97
24,104.7,59.34
24,251.3,85.71
24,502.6,83.74
24,1000,95.6
50,15.71,7.912
50,26.18,19.78
50,104.7,46.81
50,251.3,66.59
50,502.6,77.14
50,1000,89.67
75,15.71,4.615
75,26.18,13.85
75,104.7,35.6
75,251.3,60
75,502.6,79.12
75,1000,83.74
100,15.71,3.956
100,26.18,11.21
100,104.7,32.31
100,251.3,56.04
100,502.6,68.57
100,1000,77.14
