Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,BIOA,EXTR,Delta_BIOA,Delta_EXTR
0,0.0765835,0.923417,2.0901962,107.99561,0.013842272,0.10916714,1.4,16.88071119,1.292783165,0.076583454,0.923416546,4.62465E-08,4.53753E-07
20.02,0.416014,0.583986,,,,,,1.965271651,0.81758045,0.416013964,0.583986036,3.58423E-08,-3.58423E-08
40.04,0.455933,0.544067,,,,,,1.670629088,0.761694316,0.455932631,0.544067369,3.68647E-07,-3.68647E-07
60.0601,0.48898,0.51102,,,,,,1.463104935,0.715428514,0.488979633,0.511020367,3.67125E-07,-3.67125E-07
80.0801,0.517836,0.482164,,,,,,1.303557176,0.675029203,0.517836283,0.482163717,-2.83408E-07,2.83408E-07
100.1,0.543461,0.456539,,,,,,1.176083016,0.639154954,0.543460747,0.456539253,2.53081E-07,-2.53081E-07
120.12,0.566432,0.433568,,,,,,1.071610553,0.606994808,0.56643228,0.43356772,-2.79673E-07,2.79673E-07
140.14,0.587168,0.412832,,,,,,0.984325886,0.577964719,0.587168058,0.412831942,-5.79489E-08,5.79489E-08
160.16,0.605991,0.394009,,,,,,0.910265038,0.551612491,0.605991078,0.394008922,-7.7635E-08,7.7635E-08
180.18,0.62316,0.37684,,,,,,0.846612825,0.527575532,0.623160335,0.376839665,-3.34714E-07,3.34714E-07
200.2,0.638888,0.361112,,,,,,0.791307661,0.505556908,0.638887923,0.361112077,7.70868E-08,-7.70868E-08
220.22,0.65335,0.34665,,,,,,0.742802281,0.485309915,0.653350061,0.346649939,-6.05323E-08,6.05323E-08
240.24,0.666695,0.333305,,,,,,0.699911462,0.466627315,0.666694775,0.333305225,2.24847E-07,-2.24847E-07
260.26,0.679048,0.320952,,,,,,0.661711343,0.449333455,0.679047532,0.320952468,4.67593E-07,-4.67593E-07
280.28,0.690516,0.309484,,,,,,0.627470815,0.433278316,0.690515488,0.309484512,5.11618E-07,-5.11618E-07
300.3,0.701191,0.298809,,,,,,0.596603566,0.418332916,0.701190774,0.298809226,2.25907E-07,-2.25907E-07
320.32,0.711153,0.288847,,,,,,0.568633824,0.404385693,0.711153076,0.288846924,-7.62767E-08,7.62767E-08
340.34,0.720472,0.279528,,,,,,0.543171417,0.39133963,0.720471693,0.279528307,3.07306E-07,-3.07306E-07
360.36,0.729207,0.270793,,,,,,0.519893314,0.37910994,0.729207186,0.270792814,-1.8552E-07,1.8552E-07
380.38,0.737413,0.262587,,,,,,0.498529755,0.367622185,0.737412725,0.262587275,2.75067E-07,-2.75067E-07
400.4,0.745135,0.254865,,,,,,0.478853688,0.356810734,0.74513519,0.25486481,-1.90112E-07,1.90112E-07
420.42,0.752416,0.247584,,,,,,0.460672632,0.346617494,0.752416076,0.247583924,-7.57366E-08,7.57366E-08
440.44,0.759292,0.240708,,,,,,0.443822331,0.336990855,0.759292247,0.240707753,-2.4658E-07,2.4658E-07
460.46,0.765797,0.234203,,,,,,0.428161755,0.327884803,0.765796569,0.234203431,4.30757E-07,-4.30757E-07
480.48,0.771959,0.228041,,,,,,0.413569138,0.319258186,0.771958439,0.228041561,5.61435E-07,-5.61435E-07
500.501,0.777804,0.222196,,,,,,0.399938131,0.311073683,0.777804512,0.222195488,-5.12215E-07,5.12215E-07
520.521,0.783358,0.216642,,,,,,0.38717791,0.303298889,0.783357937,0.216642063,6.33523E-08,-6.33523E-08
540.541,0.78864,0.21136,,,,,,0.375207006,0.295903411,0.788640421,0.211359579,-4.20677E-07,4.20677E-07
560.561,0.793671,0.206329,,,,,,0.363954352,0.288860135,0.793671332,0.206328668,-3.31921E-07,3.31921E-07
580.581,0.798468,0.201532,,,,,,0.353357169,0.282144474,0.798468233,0.201531767,-2.32687E-07,2.32687E-07
600.601,0.803047,0.196953,,,,,,0.343359788,0.275734078,0.803047087,0.196952913,-8.73749E-08,8.73749E-08
620.621,0.807422,0.192578,,,,,,0.333912675,0.269608586,0.807422438,0.192577562,-4.38388E-07,4.38388E-07
640.641,0.811607,0.188393,,,,,,0.324971602,0.263749411,0.811607564,0.188392436,-5.64076E-07,5.64076E-07
660.661,0.815615,0.184385,,,,,,0.316496963,0.258139547,0.815614609,0.184385391,3.90608E-07,-3.90608E-07
680.681,0.819455,0.180545,,,,,,0.308453178,0.252763409,0.819454708,0.180545292,2.92064E-07,-2.92064E-07
700.701,0.823138,0.176862,,,,,,0.300808196,0.247606682,0.823138084,0.176861916,-8.41723E-08,8.41723E-08
720.721,0.826674,0.173326,,,,,,0.293533073,0.242656201,0.826674142,0.173325858,-1.41958E-07,1.41958E-07
740.741,0.830072,0.169928,,,,,,0.286601595,0.23789983,0.83007155,0.16992845,4.50115E-07,-4.50115E-07
760.761,0.833338,0.166662,,,,,,0.279989974,0.233326371,0.833338307,0.166661693,-3.06577E-07,3.06577E-07
780.781,0.836482,0.163518,,,,,,0.273676564,0.228925467,0.836481809,0.163518191,1.90962E-07,-1.90962E-07
800.801,0.839509,0.160491,,,,,,0.267641631,0.224687533,0.839508905,0.160491095,9.47441E-08,-9.47441E-08
820.821,0.842426,0.157574,,,,,,0.261867146,0.220603678,0.842425944,0.157574056,5.55617E-08,-5.55617E-08
840.841,0.845239,0.154761,,,,,,0.256336603,0.216665648,0.845238823,0.154761177,1.7749E-07,-1.7749E-07
860.861,0.847953,0.152047,,,,,,0.25103486,0.212865769,0.847953023,0.152046977,-2.26273E-08,2.26273E-08
880.881,0.850574,0.149426,,,,,,0.245948007,0.209196893,0.850573648,0.149426352,3.52445E-07,-3.52445E-07
900.901,0.853105,0.146895,,,,,,0.241063235,0.205652361,0.853105456,0.146894544,-4.56354E-07,4.56354E-07
920.921,0.855553,0.144447,,,,,,0.236368737,0.202225956,0.855552889,0.144447111,1.1125E-07,-1.1125E-07
940.941,0.85792,0.14208,,,,,,0.231853606,0.198911868,0.857920095,0.142079905,-9.45799E-08,9.45799E-08
960.961,0.860211,0.139789,,,,,,0.227507754,0.195704662,0.860210955,0.139789045,4.45934E-08,-4.45934E-08
980.981,0.862429,0.137571,,,,,,0.223321835,0.192599251,0.862429107,0.137570893,-1.06672E-07,1.06672E-07
1001,0.864578,0.135422,,,,,,0.219287378,0.18959101,0.86457785,0.13542215,1.49879E-07,-1.49879E-07
1021.02,0.866661,0.133339,,,,,,0.215395925,0.186675161,0.866660599,0.133339401,4.00989E-07,-4.00989E-07
1041.04,0.86868,0.13132,,,,,,0.211640189,0.183847652,0.868680249,0.131319751,-2.48579E-07,2.48579E-07
1061.06,0.87064,0.12936,,,,,,0.208013191,0.181104526,0.870639624,0.129360376,3.76E-07,-3.76E-07
