Function,Concentration,Predicted
1,0,16.8807
1,20.02,1.96527
1,40.04,1.67063
1,60.0601,1.46311
1,80.0801,1.30356
1,100.1,1.17608
1,120.12,1.07161
1,140.14,0.984325
1,160.16,0.910264
1,180.18,0.846612
1,200.2,0.791307
1,220.22,0.742802
1,240.24,0.699911
1,260.26,0.661711
1,280.28,0.62747
1,300.3,0.596603
1,320.32,0.568633
1,340.34,0.543171
1,360.36,0.519893
1,380.38,0.498529
1,400.4,0.478853
1,420.42,0.460672
1,440.44,0.443822
1,460.46,0.428161
1,480.48,0.413569
1,500.501,0.399938
1,520.521,0.387178
1,540.541,0.375207
1,560.561,0.363955
1,580.581,0.353357
1,600.601,0.34336
1,620.621,0.333913
1,640.641,0.324972
1,660.661,0.316497
1,680.681,0.308453
1,700.701,0.300808
1,720.721,0.293533
1,740.741,0.286602
1,760.761,0.27999
1,780.781,0.273677
1,800.801,0.267642
1,820.821,0.261867
1,840.841,0.256337
1,860.861,0.251035
1,880.881,0.245948
1,900.901,0.241063
1,920.921,0.236369
1,940.941,0.231854
1,960.961,0.227508
1,980.981,0.223322
1,1001,0.219287
1,1021.02,0.215396
1,1041.04,0.21164
1,1061.06,0.208013
1,1081.08,0.204508
1,1101.1,0.20112
1,1121.12,0.197841
1,1141.14,0.194669
1,1161.16,0.191596
1,1181.18,0.188618
1,1201.2,0.185732
1,1221.22,0.182933
1,1241.24,0.180217
1,1261.26,0.17758
1,1281.28,0.17502
1,1301.3,0.172532
1,1321.32,0.170114
1,1341.34,0.167763
1,1361.36,0.165476
1,1381.38,0.16325
1,1401.4,0.161084
1,1421.42,0.158974
1,1441.44,0.156919
1,1461.46,0.154916
1,1481.48,0.152964
1,1501.5,0.15106
1,1521.52,0.149204
1,1541.54,0.147392
1,1561.56,0.145624
1,1581.58,0.143897
1,1601.6,0.142211
1,1621.62,0.140565
1,1641.64,0.138955
1,1661.66,0.137383
1,1681.68,0.135845
1,1701.7,0.134342
1,1721.72,0.132871
1,1741.74,0.131432
1,1761.76,0.130025
1,1781.78,0.128646
1,1801.8,0.127297
1,1821.82,0.125976
1,1841.84,0.124682
1,1861.86,0.123415
1,1881.88,0.122172
1,1901.9,0.120955
1,1921.92,0.119762
1,1941.94,0.118592
1,1961.96,0.117444
1,1981.98,0.116319
1,2002,0.115215
1,2022.02,0.114131
1,2042.04,0.113068
1,2062.06,0.112025
1,2082.08,0.111
1,2102.1,0.109994
1,2122.12,0.109007
1,2142.14,0.108036
1,2162.16,0.107083
1,2182.18,0.106147
1,2202.2,0.105227
1,2222.22,0.104322
1,2242.24,0.103434
1,2262.26,0.10256
1,2282.28,0.1017
1,2302.3,0.100855
1,2322.32,0.100024
1,2342.34,0.0992068
1,2362.36,0.0984025
1,2382.38,0.0976112
1,2402.4,0.0968325
1,2422.42,0.0960662
1,2442.44,0.0953119
1,2462.46,0.0945693
1,2482.48,0.0938382
1,2502.5,0.0931184
1,2522.52,0.0924095
1,2542.54,0.0917113
1,2562.56,0.0910236
1,2582.58,0.0903461
1,2602.6,0.0896786
1,2622.62,0.0890209
1,2642.64,0.0883728
1,2662.66,0.0877341
1,2682.68,0.0871045
1,2702.7,0.0864839
1,2722.72,0.0858721
1,2742.74,0.0852689
1,2762.76,0.0846741
1,2782.78,0.0840875
1,2802.8,0.083509
1,2822.82,0.0829385
1,2842.84,0.0823756
1,2862.86,0.0818204
1,2882.88,0.0812725
1,2902.9,0.080732
1,2922.92,0.0801986
1,2942.94,0.0796722
1,2962.96,0.0791527
1,2982.98,0.0786399
1,3003,0.0781337
1,3023.02,0.077634
1,3043.04,0.0771406
1,3063.06,0.0766535
1,3083.08,0.0761725
1,3103.1,0.0756975
1,3123.12,0.0752283
1,3143.14,0.074765
1,3163.16,0.0743073
1,3183.18,0.0738552
1,3203.2,0.0734085
1,3223.22,0.0729673
1,3243.24,0.0725313
1,3263.26,0.0721005
1,3283.28,0.0716747
1,3303.3,0.071254
1,3323.32,0.0708382
1,3343.34,0.0704272
1,3363.36,0.0700209
1,3383.38,0.0696193
1,3403.4,0.0692223
1,3423.42,0.0688298
1,3443.44,0.0684417
1,3463.46,0.068058
1,3483.48,0.0676785
1,3503.5,0.0673033
1,3523.52,0.0669322
1,3543.54,0.0665651
1,3563.56,0.0662021
1,3583.58,0.065843
1,3603.6,0.0654878
1,3623.62,0.0651363
1,3643.64,0.0647887
1,3663.66,0.0644447
1,3683.68,0.0641044
1,3703.7,0.0637676
1,3723.72,0.0634344
1,3743.74,0.0631046
1,3763.76,0.0627782
1,3783.78,0.0624552
1,3803.8,0.0621355
1,3823.82,0.0618191
1,3843.84,0.0615059
1,3863.86,0.0611958
1,3883.88,0.0608888
1,3903.9,0.0605849
1,3923.92,0.060284
1,3943.94,0.0599861
1,3963.96,0.0596912
1,3983.98,0.0593991
1,4004,0.0591098
1,4024.02,0.0588234
1,4044.04,0.0585397
1,4064.06,0.0582587
1,4084.08,0.0579805
1,4104.1,0.0577048
1,4124.12,0.0574318
1,4144.14,0.0571614
1,4164.16,0.0568934
1,4184.18,0.056628
1,4204.2,0.0563651
1,4224.22,0.0561046
1,4244.24,0.0558464
1,4264.26,0.0555907
1,4284.28,0.0553373
1,4304.3,0.0550861
1,4324.32,0.0548373
1,4344.34,0.0545907
1,4364.36,0.0543462
1,4384.38,0.054104
1,4404.4,0.0538639
1,4424.42,0.053626
1,4444.44,0.0533901
1,4464.46,0.0531563
1,4484.48,0.0529245
1,4504.5,0.0526948
1,4524.52,0.052467
1,4544.54,0.0522412
1,4564.56,0.0520174
1,4584.58,0.0517954
1,4604.6,0.0515753
1,4624.62,0.0513571
1,4644.64,0.0511407
1,4664.66,0.0509262
1,4684.68,0.0507134
1,4704.7,0.0505024
1,4724.72,0.0502932
1,4744.74,0.0500857
1,4764.76,0.0498799
1,4784.78,0.0496757
1,4804.8,0.0494733
1,4824.82,0.0492725
1,4844.84,0.0490733
1,4864.86,0.0488757
1,4884.88,0.0486797
1,4904.9,0.0484852
1,4924.92,0.0482923
1,4944.94,0.048101
1,4964.96,0.0479111
1,4984.98,0.0477228
1,5005.01,0.0475359
1,5025.03,0.0473504
1,5045.05,0.0471664
1,5065.07,0.0469839
1,5085.09,0.0468027
1,5105.11,0.046623
1,5125.13,0.0464446
1,5145.15,0.0462676
1,5165.17,0.0460919
1,5185.19,0.0459175
1,5205.21,0.0457445
1,5225.23,0.0455727
1,5245.25,0.0454023
1,5265.27,0.0452331
1,5285.29,0.0450652
1,5305.31,0.0448985
1,5325.33,0.044733
1,5345.35,0.0445688
1,5365.37,0.0444057
1,5385.39,0.0442439
1,5405.41,0.0440832
1,5425.43,0.0439237
1,5445.45,0.0437653
1,5465.47,0.0436081
1,5485.49,0.043452
