Time,Response,Dose,Group
hr,,,
0,20,1.05,1
12,22,,1
24,30,,1
36,55,,1
48,66,,1
60,74,,1
72,75,,1
96,60,,1
120,50,,1
144,48,,1
168,33,,1
180,33,,1
192,25,,1
204,27,,1
216,25,,1
264,20,,1
300,19,,1
0,22,4.2,2
12,22,,2
24,45,,2
36,64,,2
48,88,,2
60,99,,2
72,100,,2
96,95,,2
120,90,,2
144,85,,2
168,60,,2
180,50,,2
192,43,,2
216,45,,2
240,25,,2
0,20,16.8,3
12,23,,3
24,39,,3
36,67,,3
48,88,,3
60,105,,3
72,110,,3
96,109,,3
120,110,,3
144,100,,3
168,90,,3
180,85,,3
192,69,,3
204,73,,3
216,64,,3
240,55,,3
300,32,,3
